"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-24","5.7"," 1525"," 1525","0.0","0.0","127.0","-5.6","-2.2","-8.9",,"  340","  330","9.4","10.7","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-25","3.8"," 0017"," 1246","0.0","0.0","127.0","-7.2","-3.9","-10.6",,"  330","  260","6.7","7.6",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-26","5.8"," 2201"," 2200","1.5","25.0","127.0","-3.3","-0.6","-6.1",,"  330","  320","12.5","14.3","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-27","5.5"," 0130"," 0003","0.0","0.0","127.0","-6.1","-3.3","-9.4",,"  310","  320","9.8","12.5",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-28","2.7"," 0240"," 0239","0.8","3.0","127.0","-5.6","-1.7","-10.0",,"  260","  260","5.8","7.2","    1",,,,,"    1",,,,,"    1",,"    1","    1","    1","    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-29","5.5"," 1921"," 1920","15.7","0.0","127.0","1.1","5.6","-1.7",,"  120","  120","11.2","14.3","    1",,,,,"    1",,"    1",,,"    1",,"    1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-30","3.4"," 0024"," 0027","5.3","10.0","51.0","2.2","4.4","0.0",,"  230","  220","7.2","9.4","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-01-31","4.4"," 1202"," 1140","0.0","0.0","51.0","-0.6","1.7","-2.8",,"  270","  290","7.6","10.3","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-01","4.6"," 2250"," 1940","0.0","0.0","51.0","-7.8","0.0","-15.6",,"  290","  280","8.9","10.7","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-02","5.1"," 0416"," 0415","0.0","0.0","25.0","-17.8","-11.1","-18.9",,"  290","  300","8.9","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-03","4.1"," 1048"," 1048","0.3","8.0","25.0","-6.7","-1.1","-12.2",,"  200","  190","7.6","9.4","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-04","2.6"," 2338"," 2337","0.8","3.0","51.0","-1.1","1.1","-3.3",,"  330","  340","5.8","7.2","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-05","4.5"," 1403"," 1044","0.3","5.0","25.0","-1.7","0.0","-3.3",,"  240","  270","7.2","9.4","    1",,,,,,,"    1",,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-06","2.9"," 0707"," 0613","0.0","0.0","25.0","-2.2","2.2","-6.7",,"  330","  360","6.3","7.2","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-07","3.3"," 1928"," 1635","1.3","0.0","0.0","-3.3","1.7","-8.3",,"  100","   80","9.8","13.4","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-08","3.2"," 2342"," 2341","14.7","0.0","0.0","6.7","11.7","1.1",,"  210","  210","11.2","14.3","    1","    1","    1",,,,,,,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-09","6.9"," 1819"," 1837","13.2","28.0","0.0","2.8","12.2","-6.7",,"  330","  330","13.0","16.1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-10","4.2"," 0011"," 0010","0.0","0.0","25.0","-8.9","-6.7","-11.1",,"  320","  320","9.4","11.6",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-11","4.1"," 2030"," 1828","0.0","0.0","25.0","-7.2","-2.8","-12.2",,"  130","   70","8.9","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-12","3.5"," 0049"," 0048","0.0","0.0","25.0","-1.7","3.3","-6.7",,"  140","  140","7.2","8.0",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-13","2.4"," 2042"," 2358","0.3","0.0","0.0","1.7","3.3","-0.6",,"  130","   80","4.5","5.8","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-14","4.0"," 1255"," 1810","5.6","3.0","0.0","0.6","2.8","-2.2",,"   20","   20","8.0","12.5","    1","    1",,"    1",,"    1",,,,,"    1","    1","    1","    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-15","3.0"," 0534"," 1241","0.0","0.0","0.0","-1.7","0.0","-3.3",,"   60","   60","5.8","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-16","5.5"," 2343"," 2346","0.0","0.0","0.0","-5.0","-0.6","-10.0",,"  320","  330","11.2","13.0",,,,,,,,"    1",,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-17","5.9"," 0004"," 0003","0.0","0.0","0.0","-10.6","-7.2","-14.4",,"  330","  330","11.2","14.8",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-18","4.9"," 2332"," 2259","0.0","0.0","0.0","-7.8","-2.2","-13.9",,"  210","  200","7.6","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-19","6.0"," 1550"," 0317","0.0","0.0","0.0","1.7","5.6","-2.2",,"  250","  220","9.4","13.0","    1",,,,,,,,,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-20","5.2"," 1704"," 1909","0.0","0.0","0.0","-2.8","2.2","-7.8",,"  290","  280","9.8","11.6",,,,,,,,"    1",,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-21","4.1"," 0233"," 0239","0.0","0.0","0.0","-9.4","-6.1","-12.8",,"  340","  340","8.0","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-22","5.0"," 2316"," 1911","0.8","10.0","0.0","-5.0","-2.8","-7.2",,"  280","  270","9.8","13.4","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-23","4.8"," 0014"," 1647","0.0","0.0","0.0","-4.4","-1.1","-7.8",,"  270","   90","8.9","11.2",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-24","7.1"," 2345"," 2352","28.2","0.0","0.0","6.1","13.3","-1.1",,"  180","  180","11.2","14.3","    1",,,,,"    1",,,,,"    1",,,"    1","    1",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-25","9.7"," 1152"," 1152","0.0","0.0","0.0","5.6","12.8","-2.2",,"  260","  270","17.0","21.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-26","4.3"," 0001"," 0201","0.0","0.0","0.0","-0.6","4.4","-5.6",,"  300","  300","7.6","9.4",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-27","5.1"," 2353"," 1141","0.0","0.0","0.0","-5.0","-1.7","-8.3","    0","  330","   20","7.2","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-02-28","4.7"," 2302"," 2301","0.0","0.0","0.0","-6.7","-2.2","-11.7",,"  250","  250","7.6","9.4",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-01","4.6"," 1439"," 1425","0.0","0.0","0.0","-0.6","5.6","-6.7",,"  260","  250","8.9","11.2",,,,,,"    1",,,,,,,"    1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-02","5.0"," 1249"," 1311","0.0","0.0","0.0","1.7","5.6","-2.2",,"  250","  280","9.4","13.0","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-03","1.7"," 1631"," 1607","0.0","0.0","0.0","2.2","9.4","-5.6",,"  100","   70","5.4","9.8","    1",,,,,,,"    1",,,"    1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-04","6.2"," 0746"," 0409","0.0","0.0","0.0","-1.1","1.7","-4.4",,"   20","   10","11.2","14.3",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-05","8.0"," 1515"," 1429","0.0","0.0","0.0","-5.0","-2.2","-7.8",,"  310","  300","12.5","15.6","    1",,,,,,,"    1",,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-06","5.1"," 0104"," 0032","0.0","0.0","0.0","-2.2","1.1","-6.1",,"  340","  340","10.3","12.5",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-07","5.2"," 1752"," 1746","0.0","0.0","0.0","0.6","6.7","-5.6",,"  280","  270","9.8","11.6",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-08","5.6"," 1438"," 1358","0.3","3.0","0.0","-0.6","1.7","-2.8",,"  320","  310","9.8","11.6","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-09","3.7"," 0913"," 1215","0.0","0.0","0.0","-0.6","3.3","-5.0","    0","  350","  320","7.2","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-10","5.2"," 1612"," 1540","1.0","0.0","0.0","1.1","10.0","-7.8",,"  190","  190","9.8","12.5","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-11","5.0"," 1657"," 1200","0.8","3.0","0.0","0.6","3.3","-2.2",,"   50","   50","7.2","11.6","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-12","6.1"," 1857"," 2024","5.6","0.0","0.0","4.4","9.4","-1.1",,"  280","  270","10.7","13.0","    1","    1",,,,,,,,,"    1","    1",,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-13","7.2",,,"0.0","0.0","0.0",,"5.6","-0.6",,"  290","  290","8.9","14.8","    1",,,,,,,"    1",,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-14","3.6"," 0017"," 0020","0.3","0.0","0.0","3.3","10.0","-3.9",,"  300","  310","8.9","10.3","    1",,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-15","6.3"," 1612"," 1713","11.2","0.0","0.0","3.9","7.2","0.6",,"   30","   40","10.7","15.6","    1","    1",,,,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-16","7.6"," 1637"," 1450","11.7","102.0","25.0","0.0","1.1","-1.1",,"   20","   10","10.7","13.9","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-17","3.7"," 0911"," 1251","0.0","0.0","102.0","0.0","3.3","-3.3",,"   10","   40","6.7","11.2","    1",,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2001-03-18","2.0"," 1741"," 1723","0.0","0.0","76.0","0.0","6.7","-6.7",,"   70","   60","4.5","9.8",,,,,,,,,,,,,,,,,,,,,
